(125, 45)
(124, 45)
(123, 45)
(122, 45)
(121, 45)
(121, 44)
(121, 43)
(121, 42)
(121, 41)
(122, 41)
(122, 40)
(122, 39)
(121, 39)
(120, 39)
(119, 39)
(118, 39)
(118, 38)
(117, 38)
(117, 37)
(118, 37)
(118, 36)
(119, 36)
(120, 36)
(120, 35)
(120, 34)
(120, 33)
(120, 32)
(121, 32)
(121, 31)
(122, 31)
(122, 30)
(123, 30)
(123, 29)
(124, 29)
(124, 28)
(124, 27)
(123, 27)
(122, 27)
(121, 27)
(120, 27)
(119, 27)
(119, 26)
(118, 26)
(118, 25)
(117, 25)
(116, 25)
(116, 25)
(115, 25)
(114, 25)
(113, 26)
(112, 27)
(111, 27)
(110, 27)
(109, 27)
(108, 27)
(108, 26)
(107, 26)
(107, 25)
(106, 25)
(105, 25)
(104, 26)
(103, 27)
(102, 27)
(102, 26)
(101, 26)
(100, 27)
(99, 27)
(98, 27)
(97, 27)
(96, 27)
(95, 27)
(94, 27)
(93, 27)
(92, 27)
(91, 27)
(90, 27)
(89, 27)
(88, 27)
(87, 27)
(86, 27)
(85, 27)
(84, 27)
(83, 27)
(82, 27)
(81, 27)
(80, 27)
(79, 27)
(78, 27)
(77, 27)
(76, 27)
(75, 27)
(74, 27)
(73, 27)
(72, 27)
(71, 27)
(70, 27)
(69, 27)
(68, 27)
(68, 26)
(68, 25)
(67, 25)
(66, 25)
(65, 25)
(64, 26)
(63, 27)
(62, 27)
(61, 27)
(60, 27)
(59, 27)
(58, 27)
(57, 27)
(56, 27)
(55, 27)
(54, 27)
(53, 27)
(52, 27)
(52, 26)
(52, 25)
(51, 25)
(51, 24)
(52, 24)
(52, 23)
(52, 22)
(52, 21)
(52, 20)
(53, 20)
(53, 19)
(54, 19)
(55, 19)
(55, 19)
(56, 19)
(57, 19)
(58, 20)
(59, 20)
(59, 19)
(60, 19)
(60, 18)
(61, 18)
(62, 18)
(63, 19)
(64, 19)
(65, 19)
(65, 18)
(66, 18)
(66, 17)
(67, 17)
(68, 17)
(69, 18)
(70, 19)
(71, 19)
(71, 18)
(72, 18)
(72, 17)
(73, 17)
(74, 17)
(75, 18)
(76, 19)
(77, 19)
(78, 19)
(79, 19)
(80, 19)
(81, 19)
(82, 19)
(82, 18)
(83, 18)
(83, 17)
(84, 17)
(84, 16)
(84, 15)
(83, 15)
(82, 15)
(81, 15)
(80, 15)
(79, 15)
(78, 15)
(78, 14)
(77, 14)
(77, 13)
(76, 13)
(75, 13)
(75, 13)
(74, 13)
(73, 13)
(72, 14)
(71, 15)
(70, 15)
(70, 14)
(69, 14)
(69, 13)
(68, 13)
(67, 13)
(66, 14)
(65, 15)
(64, 15)
(63, 15)
(62, 15)
(61, 15)
(60, 15)
(59, 15)
(58, 15)
(57, 15)
(56, 15)
(55, 15)
(54, 15)
(53, 15)
(52, 15)
(51, 15)
(50, 16)
(49, 17)
(48, 17)
(47, 17)
(46, 17)
(45, 17)
(44, 17)
(43, 18)
(42, 18)
(41, 18)
(40, 19)
(39, 20)
(38, 21)
(37, 21)
(36, 21)
(35, 21)
(34, 21)
(33, 21)
(32, 21)
(32, 20)
(32, 19)
(31, 19)
(30, 19)
(29, 19)
(28, 19)
(27, 19)
(26, 19)
(25, 19)
(24, 19)
(23, 19)
(22, 19)
(22, 18)
(21, 18)
(20, 19)
(19, 19)
(18, 19)
(17, 19)
(16, 19)
(15, 19)
(14, 19)
(13, 19)
(12, 19)
(11, 19)
(11, 18)
(11, 17)
(11, 16)
(12, 16)
(13, 16)
(13, 15)
(14, 15)
(14, 14)
(15, 14)
(15, 13)
(16, 13)
(17, 13)
(18, 13)
(19, 13)
(20, 13)
(21, 13)
(22, 13)
(23, 13)
(24, 13)
(25, 13)
(26, 13)
(27, 13)
(28, 13)
(29, 13)
(30, 13)
(31, 13)
(32, 13)
(33, 13)
(34, 13)
(35, 13)
(36, 13)
(37, 13)
(38, 13)
(39, 13)
(39, 12)
(40, 12)
(41, 13)
(41, 12)
(42, 12)
(42, 11)
(42, 10)
(42, 9)
(43, 9)
(43, 8)
(44, 8)
(44, 7)
(44, 6)
(43, 6)
(42, 6)
(41, 6)
(40, 6)
(39, 6)
(38, 6)
(37, 6)
(36, 6)
(35, 6)
(34, 6)
(33, 6)
(32, 6)
(31, 6)
(30, 6)
(29, 6)
(28, 6)
(27, 6)
(26, 6)
(25, 6)
(24, 6)
(23, 6)
(22, 6)
(21, 6)
(20, 6)
(19, 6)
(18, 6)
(17, 6)
(16, 6)
(15, 6)
(14, 6)
(13, 6)
(12, 7)
(11, 7)
(10, 7)
(9, 7)
(8, 7)
(7, 7)
(6, 7)
(5, 7)
(4, 7)
(3, 7)
(2, 7)
